epoch,dice_coef,loss,precision_1,recall_1,val_dice_coef,val_loss,val_precision_1,val_recall_1
21,0.6529284715652466,166.5729522705078,0.7865450978279114,0.6576122641563416,0.6379879713058472,195.1243133544922,0.7011668682098389,0.5510841608047485
22,0.6548486351966858,166.023681640625,0.7856975197792053,0.6630620360374451,0.5984470248222351,206.128173828125,0.6522194743156433,0.5849717259407043
23,0.6620235443115234,164.24111938476562,0.7880808115005493,0.6700330972671509,0.670462965965271,187.723388671875,0.7022313475608826,0.6040909290313721
24,0.6622831225395203,164.73414611816406,0.7913653254508972,0.6629224419593811,0.6636874675750732,193.94644165039062,0.6778035759925842,0.6210029125213623
25,0.6632612943649292,162.46160888671875,0.7929271459579468,0.6717177629470825,0.6822174191474915,190.14527893066406,0.6827349066734314,0.630240797996521
26,0.6556854248046875,163.28759765625,0.792545735836029,0.6657505035400391,0.6320722103118896,196.8253936767578,0.6731178760528564,0.5937452912330627
27,0.6642585396766663,162.78025817871094,0.7903444766998291,0.6708295345306396,0.5748089551925659,203.53981018066406,0.6439285278320312,0.6286896467208862
28,0.6624844074249268,161.08407592773438,0.7937915325164795,0.6755136847496033,0.6796334385871887,188.71194458007812,0.6807864308357239,0.6248489022254944
29,0.6680855751037598,159.13766479492188,0.796923041343689,0.6791355609893799,0.6605415344238281,189.58200073242188,0.6791825890541077,0.6342583298683167
30,0.6761814951896667,156.0694122314453,0.8028576970100403,0.6876835823059082,0.5494986772537231,205.83583068847656,0.6310255527496338,0.6341392397880554
31,0.6762709617614746,156.14698791503906,0.8018953800201416,0.6886150240898132,0.5529047846794128,190.12405395507812,0.6769689321517944,0.6256345510482788
32,0.670941174030304,155.43557739257812,0.8050948977470398,0.6890427470207214,0.5719176530838013,186.20689392089844,0.6960126161575317,0.6109433174133301
33,0.6691657304763794,155.7066650390625,0.8034337759017944,0.6881974339485168,0.585687518119812,189.0009307861328,0.67435222864151,0.634372889995575
34,0.6705862283706665,154.61358642578125,0.8045681118965149,0.6929255127906799,0.6803833246231079,188.95733642578125,0.6712965369224548,0.6390196084976196
35,0.670730471611023,153.35305786132812,0.8080230355262756,0.6927205324172974,0.6761609315872192,181.8751678466797,0.7055283784866333,0.6130659580230713
36,0.6736199259757996,152.81028747558594,0.8079975843429565,0.6969922780990601,0.6415221691131592,182.99559020996094,0.6963319182395935,0.6276927590370178
37,0.6765927076339722,152.3682098388672,0.8085241913795471,0.6989220976829529,0.6747844815254211,185.34613037109375,0.6856303215026855,0.6195933222770691
38,0.6736056804656982,151.67259216308594,0.8113108277320862,0.6985058784484863,0.622700572013855,181.08824157714844,0.7313210964202881,0.5796008110046387
39,0.6773856282234192,151.70687866210938,0.8138900399208069,0.693255603313446,0.5624907612800598,200.8959197998047,0.6813756823539734,0.5329580903053284
40,0.6754125356674194,151.86138916015625,0.8142809867858887,0.6954832077026367,0.5966420769691467,197.98135375976562,0.6618433594703674,0.6247926950454712
41,0.6735761165618896,151.48318481445312,0.8132415413856506,0.6958957314491272,0.5986437201499939,194.5263671875,0.6676992177963257,0.6159180402755737
42,0.6772465109825134,150.4766845703125,0.8127020001411438,0.7007085680961609,0.593429446220398,190.20098876953125,0.6835906505584717,0.6011301875114441
43,0.6838785409927368,149.84902954101562,0.8159249424934387,0.7004849314689636,0.6051140427589417,188.2253875732422,0.6819602251052856,0.6252765655517578
